"ROI_TOTAL.Photons.s","MEAN.Photons.s.cm.2.sr","AREA.Pixels..cm.2","Treatment","Site","Group","Mouse_number","day","exp","Mouse"
652939.31,16583.07,3.133,"infected","Salivary Gland","4D","5",20,16,"4D-5"
460534.47,2578.6438,14.21,"infected","Body","4D","1",20,16,"4D-1"
364989.38,2043.6637,14.21,"infected","Body","4D","2",20,16,"4D-2"
341348.34,1911.2917,14.21,"infected","Body","4D","3",20,16,"4D-3"
291714.69,1633.3811,14.21,"infected","Body","4D","4",20,16,"4D-4"
364993.84,2043.6887,14.21,"infected","Body","4D","5",20,16,"4D-5"
73082.086,1856.1071,3.133,"control","Salivary Gland","3C","1",21,16,"3C-1"
80071.828,2033.6295,3.133,"control","Salivary Gland","3C","2",21,16,"3C-2"
80105.406,2034.4825,3.133,"control","Salivary Gland","3C","3",21,16,"3C-3"
65655.625,1667.493,3.133,"control","Salivary Gland","3C","4",21,16,"3C-4"
52605.574,1336.0535,3.133,"control","Salivary Gland","3C","5",21,16,"3C-5"
548733.69,3072.4927,14.21,"control","Body","3C","1",21,16,"3C-1"
392124.16,2195.5979,14.21,"control","Body","3C","2",21,16,"3C-2"
406202.19,2274.4241,14.21,"control","Body","3C","3",21,16,"3C-3"
344156.75,1927.017,14.21,"control","Body","3C","4",21,16,"3C-4"
364550.41,2049.47,14.15,"control","Body","3C","5",21,16,"3C-5"
74038.383,1880.3948,3.133,"control","Salivary Gland","4C","1",21,16,"4C-1"
68486.461,1739.3893,3.133,"control","Salivary Gland","4C","2",21,16,"4C-2"
72647.602,1845.0723,3.133,"control","Salivary Gland","4C","3",21,16,"4C-3"
74477.336,1891.5432,3.133,"control","Salivary Gland","4C","4",21,16,"4C-4"
45629.27,1158.8724,3.133,"control","Salivary Gland","4C","5",21,16,"4C-5"
549414.56,3076.3052,14.21,"control","Body","4C","1",21,16,"4C-1"
551322.69,3086.989,14.21,"control","Body","4C","2",21,16,"4C-2"
497460.72,2785.4026,14.21,"control","Body","4C","3",21,16,"4C-3"
428329.28,2398.3191,14.21,"control","Body","4C","4",21,16,"4C-4"
448463.13,2511.0535,14.21,"control","Body","4C","5",21,16,"4C-5"
1292933.8,32837.371,3.133,"infected","Salivary Gland","3D","1",21,16,"3D-1"
3684352,93573.57,3.133,"infected","Salivary Gland","3D","2",21,16,"3D-2"
280241.28,7117.4468,3.133,"infected","Salivary Gland","3D","3",21,16,"3D-3"
640957.5,16278.761,3.133,"infected","Salivary Gland","3D","4",21,16,"3D-4"
200812.23,5100.1421,3.133,"infected","Salivary Gland","3D","5",21,16,"3D-5"
673774.19,3772.6245,14.21,"infected","Body","3D","1",21,16,"3D-1"
763209.63,4273.3955,14.21,"infected","Body","3D","2",21,16,"3D-2"
754484.31,4224.5396,14.21,"infected","Body","3D","3",21,16,"3D-3"
567631.31,3178.3052,14.21,"infected","Body","3D","4",21,16,"3D-4"
536281.69,3002.7708,14.21,"infected","Body","3D","5",21,16,"3D-5"
361195.5,9173.4873,3.133,"infected","Salivary Gland","4D","1",21,16,"4D-1"
1537953.1,39060.27,3.133,"infected","Salivary Gland","4D","2",21,16,"4D-2"
4306309,109369.77,3.133,"infected","Salivary Gland","4D","3",21,16,"4D-3"
666820.19,16935.611,3.133,"infected","Salivary Gland","4D","4",21,16,"4D-4"
661317.63,16795.857,3.133,"infected","Salivary Gland","4D","5",21,16,"4D-5"
569167.69,3186.9075,14.21,"infected","Body","4D","1",21,16,"4D-1"
581946.75,3258.4604,14.21,"infected","Body","4D","2",21,16,"4D-2"
694006.56,3885.9104,14.21,"infected","Body","4D","3",21,16,"4D-3"
516868.94,2894.0742,14.21,"infected","Body","4D","4",21,16,"4D-4"
604956.25,3387.2961,14.21,"infected","Body","4D","5",21,16,"4D-5"
45369.48,1152.2743,3.133,"control","Salivary Gland","3C","1",22,16,"3C-1"
54278.543,1378.5428,3.133,"control","Salivary Gland","3C","2",22,16,"3C-2"
40428.957,1026.7971,3.133,"control","Salivary Gland","3C","3",22,16,"3C-3"
49828.488,1265.5223,3.133,"control","Salivary Gland","3C","4",22,16,"3C-4"
27423.697,696.49518,3.133,"control","Salivary Gland","3C","5",22,16,"3C-5"
256351.64,1435.3749,14.21,"control","Body","3C","1",22,16,"3C-1"
207698.94,1162.9565,14.21,"control","Body","3C","2",22,16,"3C-2"
247384.38,1385.1649,14.21,"control","Body","3C","3",22,16,"3C-3"
241230,1350.7051,14.21,"control","Body","3C","4",22,16,"3C-4"
228455.41,1279.177,14.21,"control","Body","3C","5",22,16,"3C-5"
52296.512,1328.2041,3.133,"control","Salivary Gland","4C","1",22,16,"4C-1"
51987.449,1320.3546,3.133,"control","Salivary Gland","4C","2",22,16,"4C-2"
43730.105,1110.6382,3.133,"control","Salivary Gland","4C","3",22,16,"4C-3"
41456.926,1052.905,3.133,"control","Salivary Gland","4C","4",22,16,"4C-4"
38883.645,987.54999,3.133,"control","Salivary Gland","4C","5",22,16,"4C-5"
302594.56,1694.3002,14.21,"control","Body","4C","1",22,16,"4C-1"
247536.67,1386.0176,14.21,"control","Body","4C","2",22,16,"4C-2"
283356.56,1586.5819,14.21,"control","Body","4C","3",22,16,"4C-3"
274729.69,1538.278,14.21,"control","Body","4C","4",22,16,"4C-4"
242179.59,1356.0221,14.21,"control","Body","4C","5",22,16,"4C-5"
497948.97,12646.691,3.133,"infected","Salivary Gland","3D","1",22,16,"3D-1"
1734577.4,44054.047,3.133,"infected","Salivary Gland","3D","2",22,16,"3D-2"
153124.8,3888.9971,3.133,"infected","Salivary Gland","3D","3",22,16,"3D-3"
367237.91,9326.9492,3.133,"infected","Salivary Gland","3D","4",22,16,"3D-4"
157404.63,3997.6946,3.133,"infected","Salivary Gland","3D","5",22,16,"3D-5"
352161.06,1971.8348,14.21,"infected","Body","3D","1",22,16,"3D-1"
406233.53,2274.5996,14.21,"infected","Body","3D","2",22,16,"3D-2"
342598.03,1918.2891,14.21,"infected","Body","3D","3",22,16,"3D-3"
320968.13,1797.1781,14.21,"infected","Body","3D","4",22,16,"3D-4"
308086,1725.0481,14.21,"infected","Body","3D","5",22,16,"3D-5"
259137.7,6581.4668,3.133,"infected","Salivary Gland","4D","1",22,16,"4D-1"
789757.69,20057.924,3.133,"infected","Salivary Gland","4D","2",22,16,"4D-2"
2752828.5,69915.148,3.133,"infected","Salivary Gland","4D","3",22,16,"4D-3"
508855.72,12923.697,3.133,"infected","Salivary Gland","4D","4",22,16,"4D-4"
406186.47,10316.148,3.133,"infected","Salivary Gland","4D","5",22,16,"4D-5"
341187.06,1910.389,14.21,"infected","Body","4D","1",22,16,"4D-1"
290993.53,1629.3431,14.21,"infected","Body","4D","2",22,16,"4D-2"
364147.28,2038.9486,14.21,"infected","Body","4D","3",22,16,"4D-3"
377298.09,2112.5833,14.21,"infected","Body","4D","4",22,16,"4D-4"
316166.44,1770.2924,14.21,"infected","Body","4D","5",22,16,"4D-5"
41736.871,1060.015,3.133,"control","Salivary Gland","3C","1",23,16,"3C-1"
53709.684,1364.0952,3.133,"control","Salivary Gland","3C","2",23,16,"3C-2"
42059.375,1068.2058,3.133,"control","Salivary Gland","3C","3",23,16,"3C-3"
41284.477,1048.5253,3.133,"control","Salivary Gland","3C","4",23,16,"3C-4"
33849.063,859.68384,3.133,"control","Salivary Gland","3C","5",23,16,"3C-5"
213154.58,1193.504,14.21,"control","Body","3C","1",23,16,"3C-1"
206435.83,1155.8842,14.21,"control","Body","3C","2",23,16,"3C-2"
236531.36,1324.3962,14.21,"control","Body","3C","3",23,16,"3C-3"
205454.91,1150.3917,14.21,"control","Body","3C","4",23,16,"3C-4"
159234.36,891.59174,14.21,"control","Body","3C","5",23,16,"3C-5"
43696.512,1109.785,3.133,"control","Salivary Gland","4C","1",23,16,"4C-1"
56603.227,1437.5842,3.133,"control","Salivary Gland","4C","2",23,16,"4C-2"
52733.23,1339.2957,3.133,"control","Salivary Gland","4C","3",23,16,"4C-3"
50753.434,1289.0137,3.133,"control","Salivary Gland","4C","4",23,16,"4C-4"
53369.27,1355.4496,3.133,"control","Salivary Gland","4C","5",23,16,"4C-5"
296843.34,1662.0975,14.21,"control","Body","4C","1",23,16,"4C-1"
263159.97,1473.4963,14.21,"control","Body","4C","2",23,16,"4C-2"
241366.63,1351.47,14.21,"control","Body","4C","3",23,16,"4C-3"
246761.77,1381.6787,14.21,"control","Body","4C","4",23,16,"4C-4"
243998.13,1366.2045,14.21,"control","Body","4C","5",23,16,"4C-5"
457181.81,11611.306,3.133,"infected","Salivary Gland","3D","1",23,16,"3D-1"
1569753.1,39867.906,3.133,"infected","Salivary Gland","3D","2",23,16,"3D-2"
133273.11,3384.813,3.133,"infected","Salivary Gland","3D","3",23,16,"3D-3"
447016.38,11353.128,3.133,"infected","Salivary Gland","3D","4",23,16,"3D-4"
142211.3,3611.821,3.133,"infected","Salivary Gland","3D","5",23,16,"3D-5"
352259.59,1972.3866,14.21,"infected","Body","3D","1",23,16,"3D-1"
364854.97,2042.9113,14.21,"infected","Body","3D","2",23,16,"3D-2"
304121.97,1702.8524,14.21,"infected","Body","3D","3",23,16,"3D-3"
320108.13,1792.3628,14.21,"infected","Body","3D","4",23,16,"3D-4"
277224.59,1552.2474,14.21,"infected","Body","3D","5",23,16,"3D-5"
271981.72,6907.6738,3.133,"infected","Salivary Gland","4D","1",23,16,"4D-1"
1125749,28591.283,3.133,"infected","Salivary Gland","4D","2",23,16,"4D-2"
3302158,83866.773,3.133,"infected","Salivary Gland","4D","3",23,16,"4D-3"
389400.81,9889.833,3.133,"infected","Salivary Gland","4D","4",23,16,"4D-4"
452776.56,11499.423,3.133,"infected","Salivary Gland","4D","5",23,16,"4D-5"
389562.09,2181.2522,14.21,"infected","Body","4D","1",23,16,"4D-1"
341258.75,1910.7902,14.21,"infected","Body","4D","2",23,16,"4D-2"
410488.75,2298.4258,14.21,"infected","Body","4D","3",23,16,"4D-3"
340685.41,1907.58,14.21,"infected","Body","4D","4",23,16,"4D-4"
377101.03,2111.4797,14.21,"infected","Body","4D","5",23,16,"4D-5"
56173.23,1426.6633,3.133,"control","Salivary Gland","4C","1",27,16,"4C-1"
42681.977,1084.0183,3.133,"control","Salivary Gland","4C","2",27,16,"4C-2"
37029.273,940.45337,3.133,"control","Salivary Gland","4C","3",27,16,"4C-3"
48728.852,1237.5942,3.133,"control","Salivary Gland","4C","4",27,16,"4C-4"
47461.25,1205.4003,3.133,"control","Salivary Gland","4C","5",27,16,"4C-5"
217741.25,1219.1859,14.21,"control","Body","4C","1",27,16,"4C-1"
182767.91,1023.3617,14.21,"control","Body","4C","2",27,16,"4C-2"
178606.77,1000.0624,14.21,"control","Body","4C","3",27,16,"4C-3"
188447.5,1055.1631,14.21,"control","Body","4C","4",27,16,"4C-4"
188214.59,1058.1256,14.15,"control","Body","4C","5",27,16,"4C-5"
174046.98,4420.3696,3.133,"infected","Salivary Gland","4D","1",27,16,"4D-1"
386679.75,9820.7246,3.133,"infected","Salivary Gland","4D","2",27,16,"4D-2"
835136.13,21210.426,3.133,"infected","Salivary Gland","4D","3",27,16,"4D-3"
92129.734,2339.8711,3.133,"infected","Salivary Gland","4D","4",27,16,"4D-4"
159220.94,4043.8242,3.133,"infected","Salivary Gland","4D","5",27,16,"4D-5"
323028.53,1808.7148,14.21,"infected","Body","4D","1",27,16,"4D-1"
320314.16,1793.5164,14.21,"infected","Body","4D","2",27,16,"4D-2"
360801.38,2020.214,14.21,"infected","Body","4D","3",27,16,"4D-3"
314536.06,1768.2936,14.15,"infected","Body","4D","4",27,16,"4D-4"
260911.45,1466.8209,14.15,"infected","Body","4D","5",27,16,"4D-5"
41275.52,1048.2977,3.133,"control","Salivary Gland","4C","1",28,16,"4C-1"
49732.188,1263.0765,3.133,"control","Salivary Gland","4C","2",28,16,"4C-2"
43228.438,1097.8971,3.133,"control","Salivary Gland","4C","3",28,16,"4C-3"
35978.902,913.77661,3.133,"control","Salivary Gland","4C","4",28,16,"4C-4"
31493.02,799.84607,3.133,"control","Salivary Gland","4C","5",28,16,"4C-5"
258188.13,1445.6577,14.21,"control","Body","4C","1",28,16,"4C-1"
222166.64,1243.9648,14.21,"control","Body","4C","2",28,16,"4C-2"
270779.06,1516.1573,14.21,"control","Body","4C","3",28,16,"4C-3"
253946.34,1427.6637,14.15,"control","Body","4C","4",28,16,"4C-4"
195300.63,1097.9626,14.15,"control","Body","4C","5",28,16,"4C-5"
106944.57,2716.1321,3.133,"infected","Salivary Gland","4D","1",28,16,"4D-1"
145319.84,3690.7703,3.133,"infected","Salivary Gland","4D","2",28,16,"4D-2"
203443.73,5166.9756,3.133,"infected","Salivary Gland","4D","3",28,16,"4D-3"
58831.613,1494.1798,3.133,"infected","Salivary Gland","4D","4",28,16,"4D-4"
87466.922,2221.447,3.133,"infected","Salivary Gland","4D","5",28,16,"4D-5"
226188.97,1266.4867,14.21,"infected","Body","4D","1",28,16,"4D-1"
204518.75,1145.1499,14.21,"infected","Body","4D","2",28,16,"4D-2"
224437.59,1256.6804,14.21,"infected","Body","4D","3",28,16,"4D-3"
239236.77,1339.5444,14.21,"infected","Body","4D","4",28,16,"4D-4"
223814.98,1258.2678,14.15,"infected","Body","4D","5",28,16,"4D-5"
44961.871,1141.9222,3.133,"control","Salivary Gland","3C","1",24,16,"3C-1"
66795.563,1696.4449,3.133,"control","Salivary Gland","3C","2",24,16,"3C-2"
49286.512,1251.7574,3.133,"control","Salivary Gland","3C","3",24,16,"3C-3"
51420.836,1305.964,3.133,"control","Salivary Gland","3C","4",24,16,"3C-4"
51346.926,1304.087,3.133,"control","Salivary Gland","3C","5",24,16,"3C-5"
246201.88,1378.5438,14.21,"control","Body","3C","1",24,16,"3C-1"
230094.78,1288.3563,14.21,"control","Body","3C","2",24,16,"3C-2"
229037.7,1282.4375,14.21,"control","Body","3C","3",24,16,"3C-3"
252656.36,1414.684,14.21,"control","Body","3C","4",24,16,"3C-4"
231958.13,1304.0479,14.15,"control","Body","3C","5",24,16,"3C-5"
72237.758,1834.6633,3.133,"control","Salivary Gland","4C","1",24,16,"4C-1"
49427.602,1255.3408,3.133,"control","Salivary Gland","4C","2",24,16,"4C-2"
54813.801,1392.1372,3.133,"control","Salivary Gland","4C","3",24,16,"4C-3"
55944.793,1420.8616,3.133,"control","Salivary Gland","4C","4",24,16,"4C-4"
53682.809,1363.4127,3.133,"control","Salivary Gland","4C","5",24,16,"4C-5"
270944.78,1517.0853,14.21,"control","Body","4C","1",24,16,"4C-1"
262313.44,1468.7563,14.21,"control","Body","4C","2",24,16,"4C-2"
268194.56,1501.6863,14.21,"control","Body","4C","3",24,16,"4C-3"
256960.83,1438.7858,14.21,"control","Body","4C","4",24,16,"4C-4"
239429.38,1340.6229,14.21,"control","Body","4C","5",24,16,"4C-5"
380120,9654.123,3.133,"infected","Salivary Gland","3D","1",24,16,"3D-1"
674748.38,17136.967,3.133,"infected","Salivary Gland","3D","2",24,16,"3D-2"
116039.53,2947.1218,3.133,"infected","Salivary Gland","3D","3",24,16,"3D-3"
237171.88,6023.5884,3.133,"infected","Salivary Gland","3D","4",24,16,"3D-4"
128444.58,3262.1799,3.133,"infected","Salivary Gland","3D","5",24,16,"3D-5"
337379.78,1889.0709,14.21,"infected","Body","3D","1",24,16,"3D-1"
361038.72,2021.5431,14.21,"infected","Body","3D","2",24,16,"3D-2"
355789.13,1992.1494,14.21,"infected","Body","3D","3",24,16,"3D-3"
343032.5,1920.7219,14.21,"infected","Body","3D","4",24,16,"3D-4"
271338.94,1525.4434,14.15,"infected","Body","3D","5",24,16,"3D-5"
150327.56,3817.9539,3.133,"infected","Salivary Gland","4D","1",24,16,"4D-1"
724948.63,18411.932,3.133,"infected","Salivary Gland","4D","2",24,16,"4D-2"
2418129.5,61414.609,3.133,"infected","Salivary Gland","4D","3",24,16,"4D-3"
205750.52,5225.5625,3.133,"infected","Salivary Gland","4D","4",24,16,"4D-4"
248757.23,6317.8286,3.133,"infected","Salivary Gland","4D","5",24,16,"4D-5"
321855,1802.1439,14.21,"infected","Body","4D","1",24,16,"4D-1"
308569.81,1727.7568,14.21,"infected","Body","4D","2",24,16,"4D-2"
383197.16,2145.6135,14.21,"infected","Body","4D","3",24,16,"4D-3"
326181.84,1833.7653,14.15,"infected","Body","4D","4",24,16,"4D-4"
337102.06,1887.516,14.21,"infected","Body","4D","5",24,16,"4D-5"
24944.479,633.52905,3.133,"control","Salivary Gland","4C","1",25,16,"4C-1"
37669.789,956.72101,3.133,"control","Salivary Gland","4C","2",25,16,"4C-2"
38511.875,978.10791,3.133,"control","Salivary Gland","4C","3",25,16,"4C-3"
32017.082,813.15601,3.133,"control","Salivary Gland","4C","4",25,16,"4C-4"
32787.5,832.72266,3.133,"control","Salivary Gland","4C","5",25,16,"4C-5"
216155.61,1210.3075,14.21,"control","Body","4C","1",25,16,"4C-1"
182266.23,1020.5527,14.21,"control","Body","4C","2",25,16,"4C-2"
237830.31,1331.6693,14.21,"control","Body","4C","3",25,16,"4C-3"
200577.08,1127.6265,14.15,"control","Body","4C","4",25,16,"4C-4"
153406.98,862.44037,14.15,"control","Body","4C","5",25,16,"4C-5"
265220.41,6735.9531,3.133,"infected","Salivary Gland","4D","1",25,16,"4D-1"
586591.69,14898.001,3.133,"infected","Salivary Gland","4D","2",25,16,"4D-2"
1506661.8,38265.543,3.133,"infected","Salivary Gland","4D","3",25,16,"4D-3"
197293.86,5010.7837,3.133,"infected","Salivary Gland","4D","4",25,16,"4D-4"
254201.66,6456.1035,3.133,"infected","Salivary Gland","4D","5",25,16,"4D-5"
496022.91,2777.3521,14.21,"infected","Body","4D","1",25,16,"4D-1"
474975.31,2659.5017,14.21,"infected","Body","4D","2",25,16,"4D-2"
487467.72,2729.4495,14.21,"infected","Body","4D","3",25,16,"4D-3"
450863.97,2534.7168,14.15,"infected","Body","4D","4",25,16,"4D-4"
366431.66,2051.7395,14.21,"infected","Body","4D","5",25,16,"4D-5"
56560.68,1436.5035,3.133,"control","Salivary Gland","4C","1",26,16,"4C-1"
43385.207,1101.8787,3.133,"control","Salivary Gland","4C","2",26,16,"4C-2"
44314.633,1125.4839,3.133,"control","Salivary Gland","4C","3",26,16,"4C-3"
44657.289,1134.1865,3.133,"control","Salivary Gland","4C","4",26,16,"4C-4"
43770.414,1111.662,3.133,"control","Salivary Gland","4C","5",26,16,"4C-5"
248763.95,1392.8895,14.21,"control","Body","4C","1",26,16,"4C-1"
249874.77,1399.1093,14.21,"control","Body","4C","2",26,16,"4C-2"
248548.94,1391.6857,14.21,"control","Body","4C","3",26,16,"4C-3"
228249.38,1278.0234,14.21,"control","Body","4C","4",26,16,"4C-4"
219371.66,1233.2878,14.15,"control","Body","4C","5",26,16,"4C-5"
218814,5557.3433,3.133,"infected","Salivary Gland","4D","1",26,16,"4D-1"
461710.28,11726.317,3.133,"infected","Salivary Gland","4D","2",26,16,"4D-2"
893943.13,22703.98,3.133,"infected","Salivary Gland","4D","3",26,16,"4D-3"
98687.234,2506.4155,3.133,"infected","Salivary Gland","4D","4",26,16,"4D-4"
270163.16,6861.4868,3.133,"infected","Salivary Gland","4D","5",26,16,"4D-5"
348183.5,1949.5637,14.21,"infected","Body","4D","1",26,16,"4D-1"
349518.31,1957.0376,14.21,"infected","Body","4D","2",26,16,"4D-2"
354982.91,1987.6351,14.21,"infected","Body","4D","3",26,16,"4D-3"
332596.03,1869.8252,14.15,"infected","Body","4D","4",26,16,"4D-4"
299503.97,1683.7844,14.15,"infected","Body","4D","5",26,16,"4D-5"
51882.188,1317.6813,3.133,"control","Salivary Gland","3C","1",1,16,"3C-1"
47362.707,1202.8975,3.133,"control","Salivary Gland","3C","2",1,16,"3C-2"
46964.063,1192.7729,3.133,"control","Salivary Gland","3C","3",1,16,"3C-3"
37345.051,948.47339,3.133,"control","Salivary Gland","3C","4",1,16,"3C-4"
49046.875,1245.6713,3.133,"control","Salivary Gland","3C","5",1,16,"3C-5"
229234.8,1283.541,14.21,"control","Body","3C","1",1,16,"3C-1"
178136.47,997.42908,14.21,"control","Body","3C","2",1,16,"3C-2"
214422.19,1200.6016,14.21,"control","Body","3C","3",1,16,"3C-3"
226274.06,1266.9631,14.21,"control","Body","3C","4",1,16,"3C-4"
194709.38,1090.2249,14.21,"control","Body","3C","5",1,16,"3C-5"
59013.02,1498.7871,3.133,"control","Salivary Gland","4C","1",1,16,"4C-1"
59613.227,1514.0309,3.133,"control","Salivary Gland","4C","2",1,16,"4C-2"
65498.855,1663.5115,3.133,"control","Salivary Gland","4C","3",1,16,"4C-3"
53855.258,1367.7926,3.133,"control","Salivary Gland","4C","4",1,16,"4C-4"
54256.145,1377.9741,3.133,"control","Salivary Gland","4C","5",1,16,"4C-5"
296525.28,1660.3168,14.21,"control","Body","4C","1",1,16,"4C-1"
255460.31,1430.384,14.21,"control","Body","4C","2",1,16,"4C-2"
290881.56,1628.7162,14.21,"control","Body","4C","3",1,16,"4C-3"
249252.19,1395.6233,14.21,"control","Body","4C","4",1,16,"4C-4"
274393.75,1536.3969,14.21,"control","Body","4C","5",1,16,"4C-5"
114366.56,2904.6323,3.133,"infected","Salivary Gland","3D","1",1,16,"3D-1"
117846.88,2993.0239,3.133,"infected","Salivary Gland","3D","2",1,16,"3D-2"
102796.88,2610.7905,3.133,"infected","Salivary Gland","3D","3",1,16,"3D-3"
183054.58,4649.1411,3.133,"infected","Salivary Gland","3D","4",1,16,"3D-4"
165417.86,4201.2109,3.133,"infected","Salivary Gland","3D","5",1,16,"3D-5"
294814.28,1650.7363,14.21,"infected","Body","3D","1",1,16,"3D-1"
302881.22,1695.9053,14.21,"infected","Body","3D","2",1,16,"3D-2"
293430.22,1642.9867,14.21,"infected","Body","3D","3",1,16,"3D-3"
294016.94,1646.2721,14.21,"infected","Body","3D","4",1,16,"3D-4"
284489.78,1592.927,14.21,"infected","Body","3D","5",1,16,"3D-5"
196794.42,4998.0996,3.133,"infected","Salivary Gland","4D","1",1,16,"4D-1"
160667.7,4080.5688,3.133,"infected","Salivary Gland","4D","2",1,16,"4D-2"
108803.44,2763.3425,3.133,"infected","Salivary Gland","4D","3",1,16,"4D-3"
131833.06,3348.2393,3.133,"infected","Salivary Gland","4D","4",1,16,"4D-4"
167034.84,4242.2783,3.133,"infected","Salivary Gland","4D","5",1,16,"4D-5"
359896.56,2015.1478,14.21,"infected","Body","4D","1",1,16,"4D-1"
266187.91,1490.4504,14.21,"infected","Body","4D","2",1,16,"4D-2"
287416.91,1609.3168,14.21,"infected","Body","4D","3",1,16,"4D-3"
298823.13,1673.183,14.21,"infected","Body","4D","4",1,16,"4D-4"
267522.72,1497.9243,14.21,"infected","Body","4D","5",1,16,"4D-5"
82766.039,2102.0559,3.133,"control","Salivary Gland","3C","1",2,16,"3C-1"
104033.13,2642.188,3.133,"control","Salivary Gland","3C","2",2,16,"3C-2"
99220.258,2519.9531,3.133,"control","Salivary Gland","3C","3",2,16,"3C-3"
96241.609,2444.3027,3.133,"control","Salivary Gland","3C","4",2,16,"3C-4"
80141.242,2035.3926,3.133,"control","Salivary Gland","3C","5",2,16,"3C-5"
310993,1741.325,14.21,"control","Body","3C","1",2,16,"3C-1"
283522.28,1587.5098,14.21,"control","Body","3C","2",2,16,"3C-2"
390439.97,2186.168,14.21,"control","Body","3C","3",2,16,"3C-3"
366485.41,2052.0405,14.21,"control","Body","3C","4",2,16,"3C-4"
277036.44,1551.1941,14.21,"control","Body","3C","5",2,16,"3C-5"
121100.99,3075.6704,3.133,"control","Salivary Gland","4C","1",2,16,"4C-1"
111607.4,2834.5564,3.133,"control","Salivary Gland","4C","2",2,16,"4C-2"
106261.51,2698.7837,3.133,"control","Salivary Gland","4C","3",2,16,"4C-3"
106057.71,2693.6077,3.133,"control","Salivary Gland","4C","4",2,16,"4C-4"
108848.23,2764.4802,3.133,"control","Salivary Gland","4C","5",2,16,"4C-5"
655517.13,3670.3987,14.21,"control","Body","4C","1",2,16,"4C-1"
653617.88,3659.7644,14.21,"control","Body","4C","2",2,16,"4C-2"
568433.13,3182.7944,14.21,"control","Body","4C","3",2,16,"4C-3"
528595.38,2959.7334,14.21,"control","Body","4C","4",2,16,"4C-4"
402596.44,2263.3613,14.15,"control","Body","4C","5",2,16,"4C-5"
215362.81,5469.6914,3.133,"infected","Salivary Gland","3D","1",2,16,"3D-1"
200241.16,5085.6377,3.133,"infected","Salivary Gland","3D","2",2,16,"3D-2"
261560.94,6643.0112,3.133,"infected","Salivary Gland","3D","3",2,16,"3D-3"
1076001,27327.811,3.133,"infected","Salivary Gland","3D","4",2,16,"3D-4"
593207.38,15066.024,3.133,"infected","Salivary Gland","3D","5",2,16,"3D-5"
501630.81,2808.7522,14.21,"infected","Body","3D","1",2,16,"3D-1"
423514.16,2371.3582,14.21,"infected","Body","3D","2",2,16,"3D-2"
386802.91,2165.803,14.21,"infected","Body","3D","3",2,16,"3D-3"
390072.69,2184.1113,14.21,"infected","Body","3D","4",2,16,"3D-4"
380621.66,2131.1926,14.21,"infected","Body","3D","5",2,16,"3D-5"
353348,8974.1797,3.133,"infected","Salivary Gland","4D","1",2,16,"4D-1"
1643769,41747.734,3.133,"infected","Salivary Gland","4D","2",2,16,"4D-2"
342512.91,8698.9951,3.133,"infected","Salivary Gland","4D","3",2,16,"4D-3"
135862.08,3450.5662,3.133,"infected","Salivary Gland","4D","4",2,16,"4D-4"
603045.88,15315.898,3.133,"infected","Salivary Gland","4D","5",2,16,"4D-5"
434264.16,2431.55,14.21,"infected","Body","4D","1",2,16,"4D-1"
489568.44,2741.2122,14.21,"infected","Body","4D","2",2,16,"4D-2"
383237.47,2145.8394,14.21,"infected","Body","4D","3",2,16,"4D-3"
454474.16,2544.7107,14.21,"infected","Body","4D","4",2,16,"4D-4"
413812.28,2326.4158,14.15,"infected","Body","4D","5",2,16,"4D-5"
100342.29,2548.45,3.133,"control","Salivary Gland","3C","1",3,16,"3C-1"
120055.1,3049.1074,3.133,"control","Salivary Gland","3C","2",3,16,"3C-2"
80432.398,2042.7871,3.133,"control","Salivary Gland","3C","3",3,16,"3C-3"
102895.41,2613.2932,3.133,"control","Salivary Gland","3C","4",3,16,"3C-4"
101952.55,2589.3467,3.133,"control","Salivary Gland","3C","5",3,16,"3C-5"
342933.97,1920.17,14.21,"control","Body","3C","1",3,16,"3C-1"
349576.53,1957.3635,14.21,"control","Body","3C","2",3,16,"3C-2"
356425.19,1995.7109,14.21,"control","Body","3C","3",3,16,"3C-3"
368913.13,2065.6338,14.21,"control","Body","3C","4",3,16,"3C-4"
347233.94,1944.2468,14.21,"control","Body","3C","5",3,16,"3C-5"
121555.62,3087.2168,3.133,"control","Salivary Gland","4C","1",3,16,"4C-1"
100189.99,2544.582,3.133,"control","Salivary Gland","4C","2",3,16,"4C-2"
102308.64,2598.3904,3.133,"control","Salivary Gland","4C","3",3,16,"4C-3"
94974.008,2412.1086,3.133,"control","Salivary Gland","4C","4",3,16,"4C-4"
106400.36,2702.3103,3.133,"control","Salivary Gland","4C","5",3,16,"4C-5"
446962.59,2502.6516,14.21,"control","Body","4C","1",3,16,"4C-1"
464346.25,2599.9868,14.21,"control","Body","4C","2",3,16,"4C-2"
493846,2765.1631,14.21,"control","Body","4C","3",3,16,"4C-3"
474755.81,2658.2725,14.21,"control","Body","4C","4",3,16,"4C-4"
427518.53,2393.7795,14.21,"control","Body","4C","5",3,16,"4C-5"
392081.59,9957.9189,3.133,"infected","Salivary Gland","3D","1",3,16,"3D-1"
347661.69,8829.7617,3.133,"infected","Salivary Gland","3D","2",3,16,"3D-2"
412349.84,10472.683,3.133,"infected","Salivary Gland","3D","3",3,16,"3D-3"
1193812.1,30319.922,3.133,"infected","Salivary Gland","3D","4",3,16,"3D-4"
