ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
989394.13,5539.8569,14.21,10^2 K181,Body,P-6,10,18
696208,3898.2371,14.21,10^2 K181,Body,P-7,10,18
1686357,42829.363,3.133,10^2 K181,Salivary Gland,P-5,11,18
206034.95,5232.7866,3.133,10^2 K181,Salivary Gland,P-6,11,18
1190719.3,30241.371,3.133,10^2 K181,Salivary Gland,P-7,11,18
914171,5118.6646,14.21,10^2 K181,Body,P-5,11,18
444915.63,2491.1899,14.21,10^2 K181,Body,P-6,11,18
454120.28,2542.7292,14.21,10^2 K181,Body,P-7,11,18
1695807.9,43069.395,3.133,10^2 K181,Salivary Gland,P-5,12,18
146213.44,3713.4653,3.133,10^2 K181,Salivary Gland,P-6,12,18
517646.09,13146.951,3.133,10^2 K181,Salivary Gland,P-7,12,18
640529.81,3586.4812,14.21,10^2 K181,Body,P-5,12,18
497904.16,2787.8857,14.21,10^2 K181,Body,P-6,12,18
452606.38,2534.2524,14.21,10^2 K181,Body,P-7,12,18
1291341.5,32796.934,3.133,10^2 K181,Salivary Gland,P-5,13,18
278653.47,7077.1191,3.133,10^2 K181,Salivary Gland,P-6,13,18
481577.59,12230.899,3.133,10^2 K181,Salivary Gland,P-7,13,18
906359.38,5074.9253,14.21,10^2 K181,Body,P-5,13,18
689442.31,3860.354,14.21,10^2 K181,Body,P-6,13,18
702942.44,3935.9448,14.21,10^2 K181,Body,P-7,13,18
1605355.6,40772.129,3.133,10^2 K181,Salivary Gland,P-5,14,18
257263.17,6533.8584,3.133,10^2 K181,Salivary Gland,P-6,14,18
433735.63,11015.829,3.133,10^2 K181,Salivary Gland,P-7,14,18
459885,2575.0073,14.21,10^2 K181,Body,P-5,14,18
371022.81,2077.4463,14.21,10^2 K181,Body,P-6,14,18
248737.06,1392.739,14.21,10^2 K181,Body,P-7,14,18
43006.719,1092.266,3.133,10^2 K181,Salivary Gland,P-5,0,18
49277.551,1251.5299,3.133,10^2 K181,Salivary Gland,P-6,0,18
42659.582,1083.4496,3.133,10^2 K181,Salivary Gland,P-7,0,18
237655.63,1330.6913,14.21,10^2 K181,Body,P-5,0,18
230560.63,1290.9646,14.21,10^2 K181,Body,P-6,0,18
219407.5,1228.5156,14.21,10^2 K181,Body,P-7,0,18
61259.32,1555.8376,3.133,10^2 K181,Salivary Gland,P-5,1,18
64979.273,1650.3153,3.133,10^2 K181,Salivary Gland,P-6,1,18
56365.832,1431.5549,3.133,10^2 K181,Salivary Gland,P-7,1,18
293143.53,1641.3815,14.21,10^2 K181,Body,P-5,1,18
263451.16,1475.1266,14.21,10^2 K181,Body,P-6,1,18
258788.33,1449.0184,14.21,10^2 K181,Body,P-7,1,18
64025.207,1626.0845,3.133,10^2 K181,Salivary Gland,P-5,2,18
57104.895,1450.3254,3.133,10^2 K181,Salivary Gland,P-6,2,18
55147.5,1400.6123,3.133,10^2 K181,Salivary Gland,P-7,2,18
295208.44,1652.9434,14.21,10^2 K181,Body,P-5,2,18
266075.94,1489.8235,14.21,10^2 K181,Body,P-6,2,18
275410.5,1542.0901,14.21,10^2 K181,Body,P-7,2,18
64773.227,1645.0823,3.133,10^2 K181,Salivary Gland,P-5,3,18
58327.703,1481.3818,3.133,10^2 K181,Salivary Gland,P-6,3,18
68481.977,1739.2755,3.133,10^2 K181,Salivary Gland,P-7,3,18
349330.19,1955.9843,14.21,10^2 K181,Body,P-5,3,18
311758.97,1745.6138,14.21,10^2 K181,Body,P-6,3,18
348806.13,1953.0498,14.21,10^2 K181,Body,P-7,3,18
86998.844,2209.5591,3.133,10^2 K181,Salivary Gland,P-5,4,18
61019.688,1549.7516,3.133,10^2 K181,Salivary Gland,P-6,4,18
75576.977,1919.4713,3.133,10^2 K181,Salivary Gland,P-7,4,18
795365.63,4453.4443,14.21,10^2 K181,Body,P-5,4,18
378099.88,2117.0728,14.21,10^2 K181,Body,P-6,4,18
379506.34,2124.9478,14.21,10^2 K181,Body,P-7,4,18
144683.8,3674.6165,3.133,10^2 K181,Salivary Gland,P-5,5,18
48527.289,1232.4751,3.133,10^2 K181,Salivary Gland,P-6,5,18
60726.301,1542.3003,3.133,10^2 K181,Salivary Gland,P-7,5,18
435406.34,2437.9453,14.21,10^2 K181,Body,P-5,5,18
341070.63,1909.7368,14.21,10^2 K181,Body,P-6,5,18
426235.22,2386.594,14.21,10^2 K181,Body,P-7,5,18
249433.59,6335.0063,3.133,10^2 K181,Salivary Gland,P-5,6,18
73216.453,1859.5199,3.133,10^2 K181,Salivary Gland,P-6,6,18
397066.91,10084.533,3.133,10^2 K181,Salivary Gland,P-7,6,18
812834.31,4551.2559,14.21,10^2 K181,Body,P-5,6,18
520864.34,2916.4453,14.21,10^2 K181,Body,P-6,6,18
671122.5,3757.7771,14.21,10^2 K181,Body,P-7,6,18
75030.523,1905.5927,3.133,10^6 K181,Salivary Gland,P-23,0,20
60276.145,1530.8674,3.133,10^6 K181,Salivary Gland,P-24,0,20
62806.875,1595.1417,3.133,10^6 K181,Salivary Gland,P-25,0,20
52692.914,1338.2717,3.133,10^6 K181,Salivary Gland,P-26,0,20
63496.66,1612.6608,3.133,10^6 K181,Salivary Gland,P-27,0,20
287150.41,1607.8246,14.21,10^6 K181,Body,P-23,0,20
292198.44,1636.0896,14.21,10^6 K181,Body,P-24,0,20
